"_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","____X,____m","____Y,____m","____Z,____m","___vX,__m/s","___vY,__m/s","___vZ,__m/s","_dist,___ft","_dist,___nm",A,B,C
-0.00884,12.11632,12.17314,0.89706,-0.01017,14.00861,1.03434,-23098.69141,51.08412,7553.08838,-0.01492,0.45299,0.09156,0.00935,0.00000,0.00000,14.90631,14.90631
-0.04936,12.01435,12.07071,0.84941,-0.05681,13.89073,0.97927,-23098.69336,51.10596,7553.09473,-0.04275,0.41369,0.13669,0.03075,0.00001,0.00000,14.90631,14.90631
-1.36115,12.24169,12.29915,0.18675,-1.56638,14.15361,0.21491,-23098.77930,51.14618,7553.13574,-0.09444,0.01239,-0.01253,0.37709,0.00006,0.00000,14.90631,14.90631
-2.37118,12.31020,12.36797,0.14487,-2.72870,14.23281,0.16673,-23098.76758,51.14477,7553.13232,0.07389,-0.00924,-0.00328,0.46297,0.00008,0.00000,14.90512,14.90631
-3.13428,12.25025,12.30775,0.05312,-3.60687,14.16350,0.06114,-23098.75586,51.14338,7553.13184,-0.02705,0.00361,0.00149,0.52764,0.00009,0.00000,14.90512,14.90631
-3.38065,12.26904,12.32663,0.00684,-3.89039,14.18523,0.00787,-23098.76563,51.14450,7553.13232,0.00348,-0.00047,-0.00008,0.55572,0.00009,0.00000,14.90393,14.90631
-3.45543,12.27080,12.32839,0.00956,-3.97643,14.18725,0.01101,-23098.76172,51.14419,7553.13232,0.00483,-0.00074,-0.00057,0.56272,0.00009,0.00000,14.90393,14.90631
-3.51580,12.26438,12.32194,0.00977,-4.04591,14.17984,0.01125,-23098.76367,51.14431,7553.13232,-0.00498,0.00061,0.00033,0.57005,0.00009,0.00000,14.90274,14.90631
-3.52813,12.26734,12.32491,0.00073,-4.06010,14.18325,0.00084,-23098.76563,51.14441,7553.13232,-0.00036,-0.00010,0.00006,0.57437,0.00009,0.00000,14.90155,14.90631
-3.55128,12.26682,12.32439,0.00245,-4.08674,14.18266,0.00282,-23098.76563,51.14450,7553.13232,-0.00124,0.00015,0.00013,0.57782,0.00010,0.00000,14.90037,14.90631
-3.56248,12.26749,12.32507,0.00053,-4.09963,14.18343,0.00061,-23098.76758,51.14455,7553.13232,-0.00026,0.00006,0.00005,0.57969,0.00010,0.00000,14.89918,14.90631
-3.57176,12.26767,12.32525,0.00021,-4.11030,14.18364,0.00024,-23098.76758,51.14458,7553.13232,-0.00010,-0.00002,0.00001,0.58089,0.00010,0.00000,14.89800,14.90631
-3.54309,12.23945,12.29689,0.09791,-4.07731,14.15101,0.11268,-23098.78320,51.14551,7553.13428,-0.05025,0.00313,0.00167,0.63426,0.00010,0.67843,14.89628,14.90631
-3.49200,12.25932,12.31686,0.02907,-4.01853,14.17399,0.03345,-23098.80664,51.14706,7553.13916,0.01253,-0.00178,0.00796,0.72566,0.00012,0.44706,14.89628,14.90631
-3.37578,12.11316,12.17001,1.20552,-3.88477,14.00500,1.38752,-23098.97461,51.14085,7553.14160,-0.61771,-0.00811,-0.05583,1.30313,0.00021,0.44706,14.89474,14.90631
-2.53626,12.06912,12.12576,2.56386,-2.91868,13.95407,2.95050,-23099.61328,51.13563,7553.13818,-1.31406,-0.01561,-0.11293,3.40324,0.00056,0.44706,14.89320,14.90631
-0.90365,12.29120,12.34888,4.07249,-1.03990,14.21084,4.68663,-23100.82617,51.12360,7553.09766,-2.08285,-0.01979,-0.22546,7.39152,0.00122,0.44706,14.89320,14.90631
0.73207,12.51135,12.57006,5.40197,0.84246,14.46536,6.21660,-23102.29688,51.10938,7552.97510,-2.76675,-0.02682,-0.25994,12.23750,0.00201,0.44706,14.89166,14.90631
