kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c|
     -0.03113 |      12.88916 |      12.96186 |       1.01335 |      -0.03583 |      14.91625 |       1.16838 |       0.00000 |      14.90631 |      14.90631 | 
     -0.17497 |      12.88896 |      12.96169 |       0.80066 |      -0.20135 |      14.91604 |       0.92323 |       0.00000 |      14.90631 |      14.90631 | 
     -0.40956 |      12.87416 |      12.94681 |       0.54936 |      -0.47132 |      14.89892 |       0.63348 |       0.00000 |      14.90631 |      14.90631 | 
     -0.71598 |      12.88704 |      12.95977 |       0.39407 |      -0.82394 |      14.91383 |       0.45443 |       0.10050 |      14.90631 |      14.90631 | 
     -1.07815 |      12.90859 |      12.98144 |       0.30343 |      -1.24071 |      14.93878 |       0.34989 |       0.20101 |      14.90631 |      14.90631 | 
     -1.48240 |      12.93275 |      13.00574 |       0.24713 |      -1.70592 |      14.96674 |       0.28496 |       0.30151 |      14.90631 |      14.90631 | 
     -1.91721 |      12.95534 |      13.02846 |       0.21544 |      -2.20629 |      14.99288 |       0.24841 |       0.40201 |      14.90631 |      14.90631 | 
     -2.37281 |      12.97431 |      13.04754 |       0.20230 |      -2.73059 |      15.01485 |       0.23325 |       0.42353 |      14.90631 |      14.90631 | 
     -2.84111 |      12.98997 |      13.06329 |       0.19960 |      -3.26949 |      15.03297 |       0.23013 |       0.43922 |      14.90631 |      14.90631 | 
     -3.31523 |      13.00374 |      13.07714 |       0.20314 |      -3.81510 |      15.04890 |       0.23419 |       0.44706 |      14.90631 |      14.90631 | 
     -3.78960 |      13.01107 |      13.08451 |       0.20763 |      -4.36099 |      15.05738 |       0.23937 |       0.46667 |      14.90631 |      14.90631 | 
     -4.25976 |      13.01213 |      13.08557 |       0.20792 |      -4.90204 |      15.05861 |       0.23970 |       0.47451 |      14.90631 |      14.90631 | 
     -4.72198 |      13.00921 |      13.08264 |       0.20468 |      -5.43396 |      15.05524 |       0.23595 |       0.47843 |      14.90631 |      14.90631 | 
     -5.17315 |      13.00297 |      13.07636 |       0.19827 |      -5.95316 |      15.04801 |       0.22856 |       0.50196 |      14.90631 |      14.90631 | 
     -5.61096 |      12.99284 |      13.06617 |       0.18809 |      -6.45698 |      15.03629 |       0.21683 |       0.51373 |      14.90631 |      14.90631 | 
     -6.03364 |      12.97932 |      13.05258 |       0.17459 |      -6.94339 |      15.02065 |       0.20127 |       0.52941 |      14.90631 |      14.90631 | 
     -6.43980 |      12.96115 |      13.03431 |       0.15637 |      -7.41079 |      14.99961 |       0.18026 |       0.55686 |      14.90631 |      14.90631 | 
     -6.82847 |      12.93789 |      13.01092 |       0.13299 |      -7.85807 |      14.97270 |       0.15332 |       0.56078 |      14.90631 |      14.90631 | 
     -7.19893 |      12.91034 |      12.98321 |       0.10575 |      -8.28438 |      14.94081 |       0.12191 |       0.58431 |      14.90631 |      14.90631 | 
     -7.55076 |      12.87620 |      12.94888 |       0.07469 |      -8.68926 |      14.90130 |       0.08611 |       0.60392 |      14.90471 |      14.90631 | 
     -7.88379 |      12.84696 |      12.91947 |       0.04685 |      -9.07250 |      14.86746 |       0.05401 |       0.62353 |      14.90471 |      14.90631 | 
     -8.19800 |      12.81338 |      12.88570 |       0.01221 |      -9.43410 |      14.82860 |       0.01408 |       0.63137 |      14.90471 |      14.90631 | 
     -8.49355 |      12.78283 |      12.85498 |       0.02566 |      -9.77421 |      14.79325 |       0.02959 |       0.64314 |      14.90471 |      14.90631 | 
     -8.77077 |      12.76315 |      12.83519 |       0.05368 |     -10.09322 |      14.77047 |       0.06188 |       0.66667 |      14.90471 |      14.90631 | 
     -9.03015 |      12.72094 |      12.79274 |       0.09646 |     -10.39172 |      14.72162 |       0.11120 |       0.67843 |      14.90471 |      14.90631 | 
     -9.27208 |      12.67177 |      12.74329 |       0.14627 |     -10.67012 |      14.66472 |       0.16861 |       0.71373 |      14.90471 |      14.90631 | 
     -9.49701 |      12.61739 |      12.68861 |       0.20347 |     -10.92897 |      14.60179 |       0.23456 |       0.73333 |      14.90471 |      14.90631 | 
     -9.70537 |      12.55816 |      12.62904 |       0.26808 |     -11.16874 |      14.53324 |       0.30902 |       0.73333 |      14.90471 |      14.90631 | 
     -9.89762 |      12.49442 |      12.56495 |       0.33833 |     -11.38998 |      14.45948 |       0.38999 |       0.73333 |      14.90471 |      14.90631 | 
    -10.07427 |      12.42745 |      12.49759 |       0.41276 |     -11.59327 |      14.38198 |       0.47578 |       0.73333 |      14.90471 |      14.90631 | 
    -10.23580 |      12.35816 |      12.42792 |       0.48947 |     -11.77915 |      14.30179 |       0.56419 |       0.73333 |      14.90471 |      14.90631 | 
    -10.38274 |      12.28224 |      12.35156 |       0.57260 |     -11.94824 |      14.21392 |       0.66000 |       0.70588 |      14.90471 |      14.90631 | 
    -10.51565 |      12.19903 |      12.26789 |       0.66298 |     -12.10119 |      14.11763 |       0.76415 |       0.67843 |      14.90471 |      14.90631 | 
    -10.63504 |      12.10715 |      12.17549 |       0.76222 |     -12.23859 |      14.01131 |       0.87850 |       0.64314 |      14.90471 |      14.90631 | 
    -10.74135 |      12.00863 |      12.07642 |       0.86841 |     -12.36093 |      13.89729 |       1.00087 |       0.63137 |      14.90471 |      14.90631 | 
    -10.83499 |      11.90126 |      11.96843 |       0.98402 |     -12.46869 |      13.77303 |       1.13410 |       0.64314 |      14.90471 |      14.90631 | 
    -10.91633 |      11.78651 |      11.85304 |       1.10749 |     -12.56228 |      13.64024 |       1.27639 |       0.64314 |      14.90471 |      14.90631 | 
    -10.98568 |      11.66741 |      11.73327 |       1.23560 |     -12.64209 |      13.50241 |       1.42403 |       0.64314 |      14.90471 |      14.90631 | 
    -11.04338 |      11.54302 |      11.60818 |       1.36943 |     -12.70849 |      13.35845 |       1.57826 |       0.65098 |      14.90471 |      14.90631 | 
    -11.08977 |      11.41765 |      11.48210 |       1.50426 |     -12.76188 |      13.21337 |       1.73366 |       0.65882 |      14.90282 |      14.90631 | 
    -11.12532 |      11.28630 |      11.35001 |       1.64531 |     -12.80279 |      13.06136 |       1.89623 |       0.67059 |      14.90282 |      14.90631 | 
    -11.15037 |      11.15123 |      11.21417 |       1.79025 |     -12.83162 |      12.90504 |       2.06328 |       0.67059 |      14.90282 |      14.90631 | 
    -11.16523 |      11.00672 |      11.06885 |       1.94506 |     -12.84871 |      12.73781 |       2.24171 |       0.67059 |      14.90282 |      14.90631 | 
    -11.17012 |      10.85362 |      10.91489 |       2.10919 |     -12.85435 |      12.56063 |       2.43062 |       0.67059 |      14.90282 |      14.90631 | 
    -11.16526 |      10.69414 |      10.75451 |       2.28019 |     -12.84875 |      12.37607 |       2.62740 |       0.67059 |      14.90282 |      14.90631 | 
    -11.15096 |      10.53651 |      10.59599 |       2.44928 |     -12.83230 |      12.19365 |       2.82195 |       0.67059 |      14.90282 |      14.90631 | 
    -11.12834 |      10.38009 |      10.43869 |       2.61524 |     -12.80626 |      12.01263 |       3.01290 |       0.67059 |      14.90282 |      14.90631 | 
    -11.09795 |      10.22296 |      10.28067 |       2.78205 |     -12.77130 |      11.83079 |       3.20478 |       0.67059 |      14.90282 |      14.90631 | 
    -11.05969 |      10.06562 |      10.12244 |       2.94946 |     -12.72727 |      11.64870 |       3.39734 |       0.67059 |      14.90282 |      14.90631 | 
    -11.01259 |       9.90482 |       9.96074 |       3.12105 |     -12.67306 |      11.46262 |       3.59468 |       0.67059 |      14.90282 |      14.90631 | 
    -10.96154 |       9.74876 |       9.80380 |       3.28468 |     -12.61432 |      11.28201 |       3.78285 |       0.67059 |      14.90282 |      14.90631 | 
    -10.90438 |       9.59716 |       9.65135 |       3.44978 |     -12.54853 |      11.10657 |       3.97271 |       0.67059 |      14.90282 |      14.90631 | 
    -10.84314 |       9.45287 |       9.50624 |       3.60930 |     -12.47807 |      10.93959 |       4.15614 |       0.67059 |      14.90282 |      14.90631 | 
    -10.77804 |       9.30653 |       9.35907 |       3.73544 |     -12.40314 |      10.77023 |       4.30124 |       0.67059 |      14.90282 |      14.90631 | 
    -10.70584 |       9.16229 |       9.21402 |       3.89794 |     -12.32006 |      10.60330 |       4.48817 |       0.67059 |      14.90282 |      14.90631 | 
    -10.62805 |       9.01369 |       9.06459 |       4.06013 |     -12.23055 |      10.43134 |       4.67491 |       0.67059 |      14.90282 |      14.90631 | 
    -10.54883 |       8.86148 |       8.91152 |       4.21411 |     -12.13938 |      10.25519 |       4.85221 |       0.67059 |      14.90282 |      14.90631 | 
    -10.46094 |       8.70824 |       8.75741 |       4.37532 |     -12.03823 |      10.07785 |       5.03784 |       0.67059 |      14.90282 |      14.90631 | 
    -10.36610 |       8.55309 |       8.60139 |       4.54091 |     -11.92910 |       9.89831 |       5.22849 |       0.67059 |      14.90282 |      14.90631 | 
    -10.27068 |       8.40048 |       8.44792 |       4.70316 |     -11.81929 |       9.72170 |       5.41532 |       0.67059 |      14.90282 |      14.90631 | 
    -10.16866 |       8.24590 |       8.29247 |       4.87153 |     -11.70189 |       9.54281 |       5.60917 |       0.67059 |      14.90282 |      14.90631 | 
    -10.05130 |       8.08068 |       8.12632 |       5.05520 |     -11.56683 |       9.35160 |       5.82063 |       0.67059 |      14.90086 |      14.90631 | 
     -9.94134 |       7.93042 |       7.97521 |       5.22291 |     -11.44029 |       9.17771 |       6.01372 |       0.67059 |      14.90086 |      14.90631 | 
     -9.82201 |       7.77466 |       7.81857 |       5.39861 |     -11.30296 |       8.99745 |       6.21600 |       0.67059 |      14.90086 |      14.90631 | 
     -9.69188 |       7.61219 |       7.65518 |       5.58369 |     -11.15321 |       8.80942 |       6.42913 |       0.67059 |      14.90086 |      14.90631 | 
     -9.56756 |       7.46369 |       7.50585 |       5.75428 |     -11.01015 |       8.63758 |       6.62559 |       0.67059 |      14.90086 |      14.90631 | 
     -9.43031 |       7.30792 |       7.34920 |       5.93467 |     -10.85221 |       8.45731 |       6.83332 |       0.67059 |      14.90086 |      14.90631 | 
     -9.28941 |       7.15469 |       7.19510 |       6.11439 |     -10.69006 |       8.27998 |       7.04028 |       0.67059 |      14.90086 |      14.90631 | 
     -9.14525 |       7.00297 |       7.04253 |       6.29475 |     -10.52417 |       8.10440 |       7.24796 |       0.67059 |      14.90086 |      14.90631 | 
     -8.99798 |       6.85077 |       6.88947 |       6.47805 |     -10.35470 |       7.92826 |       7.45902 |       0.67059 |      14.90086 |      14.90631 | 
     -8.84786 |       6.70083 |       6.73869 |       6.66057 |     -10.18194 |       7.75474 |       7.66918 |       0.67059 |      14.90086 |      14.90631 | 
     -8.69495 |       6.55428 |       6.59131 |       6.84146 |     -10.00597 |       7.58514 |       7.87748 |       0.67059 |      14.90086 |      14.90631 | 
     -8.53944 |       6.41135 |       6.44757 |       7.02158 |      -9.82701 |       7.41974 |       8.08478 |       0.67059 |      14.90086 |      14.90631 | 
     -8.38179 |       6.27384 |       6.30929 |       7.19891 |      -9.64560 |       7.26061 |       8.28889 |       0.67059 |      14.90086 |      14.90631 | 
     -8.22212 |       6.13937 |       6.17406 |       7.37618 |      -9.46185 |       7.10499 |       8.49299 |       0.67059 |      14.90086 |      14.90631 | 
     -8.06058 |       6.00781 |       6.04176 |       7.55326 |      -9.27595 |       6.95273 |       8.69693 |       0.67059 |      14.90086 |      14.90631 | 
     -7.89726 |       5.87940 |       5.91262 |       7.73017 |      -9.08801 |       6.80412 |       8.90066 |       0.67059 |      14.90086 |      14.90631 | 
     -7.73218 |       5.75333 |       5.78584 |       7.90818 |      -8.89803 |       6.65823 |       9.10569 |       0.67059 |      14.90086 |      14.90631 | 
     -7.56549 |       5.63047 |       5.66229 |       8.08668 |      -8.70621 |       6.51605 |       9.31127 |       0.67059 |      14.90086 |      14.90631 | 
     -7.39733 |       5.51190 |       5.54305 |       8.26442 |      -8.51270 |       6.37883 |       9.51599 |       0.67059 |      14.90086 |      14.90631 | 
     -7.22968 |       5.39957 |       5.43009 |       8.43972 |      -8.31977 |       6.24884 |       9.71785 |       0.67059 |      14.90086 |      14.90631 | 
     -7.05941 |       5.29298 |       5.32290 |       8.61460 |      -8.12383 |       6.12549 |       9.91916 |       0.67059 |      14.90086 |      14.90631 | 
     -6.88717 |       5.19329 |       5.22265 |       8.78827 |      -7.92561 |       6.01012 |      10.11909 |       0.67059 |      14.89889 |      14.90631 | 
     -6.71761 |       5.10062 |       5.12946 |       8.95864 |      -7.73049 |       5.90288 |      10.31523 |       0.67059 |      14.89889 |      14.90631 | 
     -6.54341 |       5.01119 |       5.03953 |       9.13252 |      -7.53002 |       5.79939 |      10.51544 |       0.67059 |      14.89889 |      14.90631 | 
