kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c
     -0.03151 |      13.00865 |      13.08566 |       0.99532 |      -0.03626 |      15.05871 |       1.14757 |       0.00000 |      14.90631 |      14.90631 
     -0.17689 |      12.98883 |      13.06575 |       0.81631 |      -0.20356 |      15.03579 |       0.94122 |       0.00000 |      14.90631 |      14.90631 
     -0.41386 |      12.94304 |      13.01969 |       0.61333 |      -0.47626 |      14.98279 |       0.70719 |       0.00000 |      14.90631 |      14.90631 
     -0.72307 |      12.90641 |      12.98286 |       0.48359 |      -0.83209 |      14.94041 |       0.55758 |       0.00000 |      14.90631 |      14.90631 
     -1.08788 |      12.88415 |      12.96047 |       0.38847 |      -1.25191 |      14.91464 |       0.44789 |       0.00000 |      14.90631 |      14.90631 
     -1.49423 |      12.87360 |      12.94985 |       0.30593 |      -1.71953 |      14.90242 |       0.35271 |       0.00000 |      14.90631 |      14.90631 
     -1.93029 |      12.87361 |      12.94986 |       0.22805 |      -2.22133 |      14.90244 |       0.26291 |       0.00000 |      14.90631 |      14.90631 
     -2.38614 |      12.87986 |      12.95615 |       0.15941 |      -2.74592 |      14.90967 |       0.18376 |       0.00000 |      14.90631 |      14.90631 
     -2.85369 |      12.88913 |      12.96548 |       0.10497 |      -3.28396 |      14.92041 |       0.12100 |       0.00000 |      14.90631 |      14.90631 
     -3.32618 |      12.89975 |      12.97616 |       0.07007 |      -3.82770 |      14.93270 |       0.08077 |       0.00000 |      14.90631 |      14.90631 
     -3.79816 |      12.91028 |      12.98676 |       0.05883 |      -4.37084 |      14.94489 |       0.06781 |       0.00000 |      14.90631 |      14.90631 
     -4.26519 |      12.91995 |      12.99648 |       0.06140 |      -4.90830 |      14.95609 |       0.07077 |       0.00000 |      14.90631 |      14.90631 
     -4.72380 |      12.92889 |      13.00547 |       0.06434 |      -5.43605 |      14.96643 |       0.07415 |       0.00000 |      14.90631 |      14.90631 
     -5.17119 |      12.93716 |      13.01380 |       0.06317 |      -5.95090 |      14.97601 |       0.07280 |       0.00000 |      14.90631 |      14.90631 
     -5.60524 |      12.94458 |      13.02127 |       0.05742 |      -6.45039 |      14.98460 |       0.06617 |       0.00000 |      14.90631 |      14.90631 
     -6.02434 |      12.95130 |      13.02802 |       0.04852 |      -6.93268 |      14.99237 |       0.05592 |       0.00000 |      14.90631 |      14.90631 
     -6.42735 |      12.95734 |      13.03410 |       0.03821 |      -7.39647 |      14.99937 |       0.04403 |       0.00000 |      14.90631 |      14.90631 
